,Account_Balance,Daily_Transaction_Count,Avg_Transaction_Amount_7d,Failed_Transaction_Count_7d,Card_Age,Transaction_Distance,Risk_Score,Is_Weekend,Transaction_Amount_boxcox
0,0.9318061509482167,7,0.8727142857142858,3,65,0.17659530209933433,0.8494,0,0.3259134289526922
1,0.7560443278009179,13,0.9566530612244899,4,186,0.4406502016129032,0.0959,0,0.0474087620876368
2,0.010939736072635958,14,0.08165306122448979,4,226,0.38183243727598565,0.84,0,0.2867185393899614
3,0.7669184343015321,8,0.352,4,76,0.26233878968253965,0.7935,0,0.6278465186466807
4,0.9231777215643799,14,0.6503877551020408,4,140,0.1933583749359959,0.3819,1,0.29593337983747003
5,0.3290168237839961,3,0.4425510204081633,2,51,0.34510008640552997,0.0504,0,0.5487542516874285
6,0.8676943004686635,2,0.5884693877551022,2,168,0.7514360919098823,0.0875,0,0.10430786669374985
7,0.4555455129021406,3,0.3150612244897959,4,182,0.35290458589349716,0.5326,0,0.14858999672644504
8,0.9436574646904361,7,0.1633061224489796,3,24,0.11003304211469533,0.1347,1,0.3070177082970718
9,0.9182058543387329,6,0.947795918367347,1,124,0.14414122503840243,0.3394,0,0.22324971649960185
10,0.14210973244341107,4,0.7909795918367347,0,136,0.05842573924731183,0.643,0,0.7055037065374268
11,0.19559964272587654,14,0.548061224489796,1,131,0.7987251184075781,0.4582,0,0.35730892254135954
12,0.896141654546637,6,0.9664897959183674,4,192,0.7443056355606759,0.5837,0,0.37050116724732657
13,0.5104299259591893,11,0.2910816326530612,2,91,0.2122175819252432,0.1454,0,0.3669190499757463
14,0.1197984920877169,6,0.33463265306122447,0,5,0.15240175371223758,0.0793,1,0.17436043947576316
15,0.2310329783071651,1,0.01602040816326531,2,3,0.6756812435995904,0.2245,0,0.39251143985744047
16,0.9294416772707507,12,0.9131020408163266,3,135,0.07902705773169483,0.1136,1,0.3170354225514701
17,0.6289170326629234,13,0.6112040816326532,1,47,0.4149305555555555,0.3433,0,0.05847324156340747
18,0.6217124534273762,4,0.9820612244897959,4,29,0.4318396377368151,0.444,1,0.5593836485316113
19,0.3408670319744662,9,0.31326530612244896,3,129,0.8873287890424987,0.2924,0,0.24154897874092773
20,0.5563025846895354,13,0.3463877551020408,3,204,0.12675611239119303,0.1305,1,0.2554270189864624
21,0.7348545189377498,4,0.9636734693877551,4,173,0.9446544578853047,0.8633,1,0.5844633702407426
22,0.88234879092338,12,0.5580204081632654,0,80,0.12509200588837682,0.7883,1,0.37012336340335994
23,0.7184362714242111,2,0.05400000000000001,2,165,0.680467549923195,0.0233,0,0.2289354358531879
24,0.29602816463434434,3,0.45632653061224493,4,120,0.7913086437532002,0.408,1,0.40872613074449693
25,0.578687796507723,4,0.9900000000000002,0,85,0.7871063748079877,0.1379,0,0.5697483272785251
26,0.5156206924311817,1,0.7605510204081634,2,86,0.9927115335381463,0.5355,0,0.08252870000935768
27,0.8492667629032714,14,0.44265306122448983,1,65,0.809175787250384,0.2553,1,0.5766338114702216
28,0.37844694703392023,9,0.5892448979591838,4,232,0.3638912890424987,0.4784,0,0.15903311367977954
29,0.7192127707709807,9,0.8671632653061225,2,92,0.9559211789554531,0.4097,0,0.41079704041625104
30,0.3969578029993217,13,0.06616326530612246,2,152,0.5544814868151562,0.9658,0,0.17579403276598202
31,0.3213318320610611,14,0.5266938775510204,0,225,0.38937491999487966,0.8843,0,0.5780345609536947
32,0.010297410506339687,8,0.5459795918367346,3,103,0.2063032034050179,0.6745,0,0.37287627194537243
33,0.3893180383934002,11,0.11510204081632655,1,38,0.30958381336405527,0.5475,1,0.015801179404572967
34,0.7540441836771717,14,0.12079591836734696,1,45,0.7756156394009216,0.6558,0,0.3903717626988653
35,0.4036224709624321,5,0.36961224489795924,2,20,0.6111251120071685,0.1327,0,0.5249832357498335
36,0.42788098996731894,7,0.26502040816326533,0,228,0.6848018273169483,0.7918,1,0.49945038183005813
37,0.6120380715840739,9,0.384,2,195,0.16805075524833588,0.5575,0,0.21686793917655425
38,0.6019620729416914,10,0.5763673469387756,4,95,0.9061299923195084,0.8746,0,0.4247018288370493
39,0.3438926255979653,8,0.5242040816326531,2,87,0.47031009984639016,0.4547,0,0.09271099295362029
40,0.5992569888207613,10,0.7739387755102042,0,206,0.7902845782130057,0.3199,1,0.17318347497448236
41,0.2593158061839138,2,0.3495918367346939,2,162,0.23978534626216075,0.8063,1,0.26840758394188774
42,0.37968526549775006,2,0.8456734693877551,1,158,0.8367755536354325,0.703,0,0.5132924496141541
43,0.08089221644331339,13,0.6525306122448981,4,17,0.9881932443676394,0.5676,0,0.32539612781041755
44,0.42604698012006903,5,0.8661632653061225,4,106,0.2592205901177675,0.7972,1,0.19208233937742747
45,0.18899799121247166,13,0.7316938775510204,3,44,0.1330445148489503,0.7823,0,0.5016529921141378
46,0.11680405492260484,6,0.7210204081632654,0,159,0.02841581861239119,0.8096,0,0.2040072579836456
47,0.3465523820971774,4,0.2408571428571429,3,121,0.9020877336149513,0.3406,0,0.6422224177872267
48,0.24248046414680602,13,0.02810204081632653,2,25,0.5012520801331285,0.6866,0,0.2635557389818658
49,0.9900180737610058,3,0.7200204081632654,3,211,0.6179135464669738,0.5454,1,0.4055679961859755
50,0.8580341902933964,3,0.5553265306122449,3,163,0.1633644553251408,0.3183,1,0.2584469478005829
51,0.6900730397838828,14,0.5847346938775511,4,185,0.9254952316948285,0.9537,0,0.4461284102590212
52,0.8560809818666397,5,0.8023061224489796,3,64,0.04590693804403482,0.1398,0,0.47858478655885867
53,0.4449863881453495,11,0.897265306122449,2,179,0.6705889176907323,0.1848,1,0.5935011811140497
54,0.7552931556396758,3,0.7783673469387755,0,62,0.37115975422427033,0.0077,0,0.09139960480896642
55,0.0034289190025551305,9,0.35708163265306125,3,51,0.9445924539170506,0.6362,0,0.6678973380379415
56,0.9680736755766434,5,0.5645102040816327,1,202,0.32149257552483357,0.9372,0,0.23939162027019736
57,0.8024164949125021,4,0.7474081632653062,0,209,0.4282154057859703,0.7429,0,0.32036901376269705
58,0.8449608398494721,5,0.5484081632653062,1,143,0.724786386328725,0.9892,1,0.4033987576290311
59,0.9123003989132226,5,0.8442244897959185,3,132,0.7739075300819253,0.4975,0,0.2893135873207505
60,0.4997936135893618,11,0.5126122448979592,2,11,0.14733942972350228,0.8829,0,0.6086535841228832
61,0.8952773140881566,10,0.756326530612245,2,223,0.5082085253456221,0.319,0,0.2672551676311793
62,0.3822304466338613,5,0.7904285714285715,2,8,0.0013520865335381463,0.7501,1,0.6138200212685603
63,0.6626182701672991,13,0.2449795918367347,0,108,0.3401357686891961,0.4144,1,0.6664351398484436
64,0.885933994741393,3,0.09179591836734693,2,55,0.45082285266257033,0.4566,0,0.28979552724038615
65,0.7238084488877798,4,0.9165510204081634,1,93,0.2758336533538146,0.6091,0,0.4958126425002822
66,0.7702687586251882,3,0.9277551020408165,0,105,0.6122071812596006,0.1976,0,0.28240965733848605
67,0.44472437238078455,10,0.6786530612244899,3,182,0.6187836021505376,0.673,0,0.3075222932332645
68,0.8311556141475649,10,0.05589795918367347,1,151,0.2995751728110599,0.3344,0,0.4508420796998529
69,0.8288006884170239,11,0.6705918367346939,2,103,0.8531486015104968,0.0055,0,0.2975470134547437
